Transaction ID,Date,Time,Store Name,Store Type,Region,Brand,Product,Quantity,Unit Price,Total,Payment Method
TRX-000013,2025-06-13,12:05:43,"Zamboanga Central",grocery,Region IX,More,"More Menthol 20s",1,140,140,Cash
TRX-000013,2025-06-13,12:05:43,"Zamboanga Central",grocery,Region IX,Mevius,"Mevius Sky Blue 20s",2,160,320,Cash
TRX-000014,2025-06-17,07:32:16,"Santo Domingo Store",sari-sari,Region IV-A,Mighty,"Mighty Menthol 20s",1,130,130,Maya
TRX-000015,2025-06-01,17:07:50,"Rosa Store",sari-sari,Region IV-A,Mighty,"Mighty Red 20s",2,130,260,Maya
TRX-000015,2025-06-01,17:07:50,"Rosa Store",sari-sari,Region IV-A,Mighty,"Mighty Red 20s",1,130,130,Maya
TRX-000015,2025-06-01,17:07:50,"Rosa Store",sari-sari,Region IV-A,Fortune,"Fortune Red 20s",1,130,130,Maya
TRX-000016,2025-04-14,17:57:03,"Clark Convenience",convenience,Region III,More,"More Menthol 20s",2,140,280,GCash
TRX-000017,2025-05-16,08:09:52,"Clark Convenience",convenience,Region III,Fortune,"Fortune Red 20s",1,130,130,GCash
TRX-000018,2025-06-29,18:28:34,"Jaro Store",sari-sari,Region VI,Mighty,"Mighty Premium 20s",1,140,140,Cash
TRX-000018,2025-06-29,18:28:34,"Jaro Store",sari-sari,Region VI,Mevius,"Mevius Sky Blue 20s",2,160,320,Cash
TRX-000019,2025-04-25,18:03:40,"Commonwealth Mart",grocery,NCR,Philip Morris,"Philip Morris Red 20s",2,140,280,Maya
TRX-000019,2025-04-25,18:03:40,"Commonwealth Mart",grocery,NCR,Winston,"Winston Blue 20s",2,150,300,Maya
TRX-000020,2025-04-13,20:45:08,"Santiago Express",sari-sari,Region II,Winston,"Winston Lights 20s",1,150,150,GCash
TRX-000021,2025-05-23,20:42:06,"Baguio Central",grocery,CAR,Marlboro,"Marlboro Ice Blast 20s",2,165,330,Cash
TRX-000021,2025-05-23,20:42:06,"Baguio Central",grocery,CAR,Winston,"Winston Red 10s",2,75,150,Cash
TRX-000021,2025-05-23,20:42:06,"Baguio Central",grocery,CAR,Fortune,"Fortune Menthol 20s",1,130,130,Cash
TRX-000022,2025-06-21,12:34:16,"Commonwealth Mart",grocery,NCR,Winston,"Winston Lights 20s",1,150,150,Maya
TRX-000023,2025-06-15,08:01:12,"Naga Express Mart",convenience,Region V,Winston,"Winston Menthol 20s",1,150,150,Cash
TRX-000023,2025-06-15,08:01:12,"Naga Express Mart",convenience,Region V,Winston,"Winston Red 10s",2,75,150,Cash
TRX-000023,2025-06-15,08:01:12,"Naga Express Mart",convenience,Region V,Marlboro,"Marlboro Ice Blast 20s",1,165,165,Cash
TRX-000024,2025-07-01,12:50:31,"Legazpi Central",grocery,Region V,Mevius,"Mevius Sky Blue 20s",1,160,160,Cash
TRX-000024,2025-07-01,12:50:31,"Legazpi Central",grocery,Region V,Camel,"Camel Menthol 20s",2,155,310,Cash
TRX-000024,2025-07-01,12:50:31,"Legazpi Central",grocery,Region V,Mighty,"Mighty Premium 20s",1,140,140,Cash
TRX-000025,2025-04-24,06:33:33,"Balibago Store",sari-sari,Region III,Mighty,"Mighty Premium 20s",2,140,280,Cash
TRX-000025,2025-04-24,06:33:33,"Balibago Store",sari-sari,Region III,Winston,"Winston Red 10s",1,75,75,Cash
TRX-000026,2025-05-03,13:24:22,"Matina Market",sari-sari,Region XI,Mighty,"Mighty Premium 20s",1,140,140,Maya
TRX-000026,2025-05-03,13:24:22,"Matina Market",sari-sari,Region XI,Mighty,"Mighty Premium 20s",2,140,280,Maya
TRX-000027,2025-06-30,20:24:42,"Davao Central",grocery,Region XI,Camel,"Camel Blue 20s",2,155,310,GCash
TRX-000027,2025-06-30,20:24:42,"Davao Central",grocery,Region XI,Marlboro,"Marlboro Ice Blast 20s",1,165,165,GCash
TRX-000028,2025-04-12,07:10:12,"Bel-Air Mini Mart",mini-mart,NCR,Fortune,"Fortune Red 20s",1,130,130,Maya
TRX-000028,2025-04-12,07:10:12,"Bel-Air Mini Mart",mini-mart,NCR,Fortune,"Fortune Menthol 20s",1,130,130,Maya
TRX-000028,2025-04-12,07:10:12,"Bel-Air Mini Mart",mini-mart,NCR,Mevius,"Mevius Purple 20s",1,160,160,Maya
TRX-000029,2025-04-01,06:09:55,"BGC Express Mart",convenience,NCR,Mighty,"Mighty Menthol 20s",1,130,130,GCash
TRX-000030,2025-05-13,07:16:18,"Palawan Central Store",grocery,Region IV-B,Winston,"Winston Red 20s",1,150,150,Cash
TRX-000031,2025-06-22,18:50:17,"Davao Central",grocery,Region XI,Camel,"Camel Blue 20s",2,155,310,Maya
TRX-000032,2025-04-02,06:41:07,"Santiago Express",sari-sari,Region II,Fortune,"Fortune Red 20s",1,130,130,Maya
TRX-000032,2025-04-02,06:41:07,"Santiago Express",sari-sari,Region II,Camel,"Camel Yellow 20s",1,155,155,Maya
TRX-000033,2025-06-14,06:13:45,"Lapaz Market",grocery,Region VI,Marlboro,"Marlboro Ice Blast 20s",1,165,165,Maya
TRX-000034,2025-06-03,20:28:55,"Makati Convenience",convenience,NCR,Mevius,"Mevius Blue 20s",2,160,320,Maya
TRX-000034,2025-06-03,20:28:55,"Makati Convenience",convenience,NCR,More,"More Menthol 20s",2,140,280,Maya
TRX-000034,2025-06-03,20:28:55,"Makati Convenience",convenience,NCR,Winston,"Winston Red 10s",2,75,150,Maya
TRX-000035,2025-04-17,13:20:04,"Romblon Store",sari-sari,MIMAROPA,Mevius,"Mevius Purple 20s",1,160,160,GCash
TRX-000035,2025-04-17,13:20:04,"Romblon Store",sari-sari,MIMAROPA,Marlboro,"Marlboro Gold 20s",1,160,160,GCash
TRX-000036,2025-04-06,20:40:08,"Rosa Store",sari-sari,Region IV-A,Camel,"Camel Menthol 20s",1,155,155,Maya
TRX-000037,2025-05-12,19:17:35,"Buhangin Store",sari-sari,Region XI,Fortune,"Fortune Red 20s",2,130,260,Maya
TRX-000037,2025-05-12,19:17:35,"Buhangin Store",sari-sari,Region XI,Fortune,"Fortune Menthol 20s",1,130,130,Maya
TRX-000038,2025-04-17,18:56:12,"Bel-Air Mini Mart",mini-mart,NCR,Winston,"Winston Red 20s",2,150,300,Maya
TRX-000038,2025-04-17,18:56:12,"Bel-Air Mini Mart",mini-mart,NCR,Marlboro,"Marlboro Ice Blast 20s",1,165,165,Maya
TRX-000039,2025-04-11,07:44:04,"Mactan Store",sari-sari,Region VII,Camel,"Camel Menthol 20s",1,155,155,Maya
TRX-000039,2025-04-11,07:44:04,"Mactan Store",sari-sari,Region VII,Winston,"Winston Menthol 20s",1,150,150,Maya
TRX-000040,2025-05-22,08:29:12,"Romblon Store",sari-sari,MIMAROPA,Mighty,"Mighty Menthol 20s",1,130,130,Maya
TRX-000040,2025-05-22,08:29:12,"Romblon Store",sari-sari,MIMAROPA,Winston,"Winston Blue 20s",1,150,150,Maya
TRX-000040,2025-05-22,08:29:12,"Romblon Store",sari-sari,MIMAROPA,Mevius,"Mevius Sky Blue 20s",2,160,320,Maya
TRX-000041,2025-05-05,20:54:41,"Zamboanga Central",grocery,Region IX,More,"More Menthol 20s",2,140,280,GCash
TRX-000042,2025-04-27,20:12:52,"Ortigas Store",grocery,NCR,Winston,"Winston Lights 20s",1,150,150,GCash
TRX-000042,2025-04-27,20:12:52,"Ortigas Store",grocery,NCR,Marlboro,"Marlboro Red 20s",1,160,160,GCash
TRX-000043,2025-05-08,06:47:01,"Lapaz Market",grocery,Region VI,Fortune,"Fortune Menthol 20s",2,130,260,GCash
TRX-000043,2025-05-08,06:47:01,"Lapaz Market",grocery,Region VI,Marlboro,"Marlboro Gold 20s",2,160,320,GCash
TRX-000044,2025-05-22,13:33:48,"Naga Express Mart",convenience,Region V,Mighty,"Mighty Premium 20s",1,140,140,Cash
TRX-000044,2025-05-22,13:33:48,"Naga Express Mart",convenience,Region V,Fortune,"Fortune Red 20s",2,130,260,Cash
TRX-000045,2025-05-24,08:07:30,"Mabolo Store",sari-sari,Region VII,Camel,"Camel Yellow 20s",2,155,310,Cash
TRX-000045,2025-05-24,08:07:30,"Mabolo Store",sari-sari,Region VII,Philip Morris,"Philip Morris Red 20s",1,140,140,Cash
TRX-000046,2025-04-27,18:19:57,"Mandaue Central",grocery,Region VII,Camel,"Camel Yellow 20s",2,155,310,Cash
TRX-000046,2025-04-27,18:19:57,"Mandaue Central",grocery,Region VII,Mevius,"Mevius Sky Blue 20s",1,160,160,Cash
TRX-000046,2025-04-27,18:19:57,"Mandaue Central",grocery,Region VII,Marlboro,"Marlboro Ice Blast 20s",2,165,330,Cash
TRX-000047,2025-05-18,13:23:41,"BGC Express Mart",convenience,NCR,Fortune,"Fortune Menthol 20s",2,130,260,GCash
TRX-000047,2025-05-18,13:23:41,"BGC Express Mart",convenience,NCR,Mevius,"Mevius Sky Blue 20s",1,160,160,GCash
TRX-000048,2025-04-16,20:37:24,"Grace Sari-Sari",sari-sari,NCR,Mighty,"Mighty Menthol 20s",2,130,260,Maya
TRX-000048,2025-04-16,20:37:24,"Grace Sari-Sari",sari-sari,NCR,Marlboro,"Marlboro Gold 20s",1,160,160,Maya
TRX-000048,2025-04-16,20:37:24,"Grace Sari-Sari",sari-sari,NCR,Mighty,"Mighty Red 10s",1,65,65,Maya
TRX-000049,2025-05-24,08:52:10,"CDO Central Store",grocery,Region X,Mighty,"Mighty Premium 20s",2,140,280,Cash
TRX-000049,2025-05-24,08:52:10,"CDO Central Store",grocery,Region X,Fortune,"Fortune Menthol 20s",2,130,260,Cash
TRX-000050,2025-04-13,17:49:00,"Rosa Store",sari-sari,Region IV-A,Winston,"Winston Blue 20s",1,150,150,Maya
TRX-000051,2025-05-06,18:26:53,"Naga Express Mart",convenience,Region V,Fortune,"Fortune Red 20s",2,130,260,GCash
TRX-000051,2025-05-06,18:26:53,"Naga Express Mart",convenience,Region V,Mevius,"Mevius Purple 20s",2,160,320,GCash
TRX-000052,2025-04-06,18:00:21,"Mang Juan Sari-Sari",sari-sari,NCR,Fortune,"Fortune Menthol 20s",1,130,130,Cash
TRX-000052,2025-04-06,18:00:21,"Mang Juan Sari-Sari",sari-sari,NCR,Hope,"Hope Luxury Red 20s",1,120,120,Cash
TRX-000053,2025-04-08,08:12:19,"Dau Market Store",grocery,Region III,Winston,"Winston Lights 20s",2,150,300,Cash
TRX-000054,2025-06-17,13:35:27,"Mang Juan Sari-Sari",sari-sari,NCR,Winston,"Winston Menthol 20s",2,150,300,GCash
TRX-000055,2025-05-23,07:47:06,"Butuan Central",grocery,Region XIII,Fortune,"Fortune Menthol 20s",2,130,260,GCash
TRX-000056,2025-04-25,20:12:45,"Bel-Air Mini Mart",mini-mart,NCR,Fortune,"Fortune Menthol 20s",1,130,130,Cash
TRX-000056,2025-04-25,20:12:45,"Bel-Air Mini Mart",mini-mart,NCR,Fortune,"Fortune Red 20s",1,130,130,Cash
TRX-000056,2025-04-25,20:12:45,"Bel-Air Mini Mart",mini-mart,NCR,Marlboro,"Marlboro Gold 20s",1,160,160,Cash
TRX-000057,2025-05-27,19:52:56,"Ate Rose Store",sari-sari,NCR,Fortune,"Fortune Menthol 20s",1,130,130,Maya
TRX-000058,2025-06-01,08:04:51,"Mactan Store",sari-sari,Region VII,More,"More Menthol 20s",1,140,140,Cash
TRX-000058,2025-06-01,08:04:51,"Mactan Store",sari-sari,Region VII,Camel,"Camel Yellow 20s",1,155,155,Cash
TRX-000059,2025-04-15,19:52:19,"Laoag Express Mart",grocery,Region I,Camel,"Camel Menthol 20s",2,155,310,Cash
TRX-000059,2025-04-15,19:52:19,"Laoag Express Mart",grocery,Region I,Mighty,"Mighty Menthol 20s",2,130,260,Cash
TRX-000059,2025-04-15,19:52:19,"Laoag Express Mart",grocery,Region I,Marlboro,"Marlboro Ice Blast 20s",2,165,330,Cash
TRX-000060,2025-05-29,08:54:02,"Tuguegarao Central",grocery,Region II,Camel,"Camel Yellow 20s",2,155,310,Cash
TRX-000061,2025-05-11,13:52:26,"Tacloban Central",grocery,Region VIII,Mighty,"Mighty Menthol 20s",2,130,260,Cash
TRX-000061,2025-05-11,13:52:26,"Tacloban Central",grocery,Region VIII,Marlboro,"Marlboro Ice Blast 20s",1,165,165,Cash
TRX-000061,2025-05-11,13:52:26,"Tacloban Central",grocery,Region VIII,Marlboro,"Marlboro Ice Blast 20s",2,165,330,Cash
TRX-000062,2025-06-05,19:00:39,"Naga Express Mart",convenience,Region V,Mighty,"Mighty Premium 20s",1,140,140,Maya
TRX-000062,2025-06-05,19:00:39,"Naga Express Mart",convenience,Region V,Philip Morris,"Philip Morris Red 20s",2,140,280,Maya
TRX-000062,2025-06-05,19:00:39,"Naga Express Mart",convenience,Region V,Mighty,"Mighty Menthol 20s",1,130,130,Maya
TRX-000063,2025-07-01,13:54:34,"GenSan Central",grocery,Region XII,Marlboro,"Marlboro Red 20s",2,160,320,GCash
TRX-000063,2025-07-01,13:54:34,"GenSan Central",grocery,Region XII,Fortune,"Fortune Menthol 20s",2,130,260,GCash
TRX-000063,2025-07-01,13:54:34,"GenSan Central",grocery,Region XII,Marlboro,"Marlboro Gold 20s",1,160,160,GCash
TRX-000064,2025-04-17,12:58:56,"BGC Express Mart",convenience,NCR,Marlboro,"Marlboro Ice Blast 20s",2,165,330,Maya
TRX-000064,2025-04-17,12:58:56,"BGC Express Mart",convenience,NCR,Camel,"Camel Menthol 20s",1,155,155,Maya
TRX-000064,2025-04-17,12:58:56,"BGC Express Mart",convenience,NCR,Mevius,"Mevius Purple 20s",2,160,320,Maya
TRX-000065,2025-06-27,12:28:15,"Romblon Store",sari-sari,MIMAROPA,Winston,"Winston Blue 20s",2,150,300,Cash
TRX-000066,2025-05-07,06:34:05,"Santiago Express",sari-sari,Region II,Marlboro,"Marlboro Ice Blast 20s",1,165,165,GCash
TRX-000066,2025-05-07,06:34:05,"Santiago Express",sari-sari,Region II,Camel,"Camel Yellow 20s",2,155,310,GCash
TRX-000067,2025-06-22,12:07:38,"Buhangin Store",sari-sari,Region XI,Fortune,"Fortune Menthol 20s",2,130,260,GCash
TRX-000067,2025-06-22,12:07:38,"Buhangin Store",sari-sari,Region XI,Philip Morris,"Philip Morris Red 20s",1,140,140,GCash
TRX-000068,2025-04-28,17:27:57,"Commonwealth Mart",grocery,NCR,Marlboro,"Marlboro Ice Blast 20s",2,165,330,GCash
TRX-000068,2025-04-28,17:27:57,"Commonwealth Mart",grocery,NCR,Philip Morris,"Philip Morris Red 20s",1,140,140,GCash
TRX-000068,2025-04-28,17:27:57,"Commonwealth Mart",grocery,NCR,Mighty,"Mighty Menthol 20s",1,130,130,GCash
TRX-000069,2025-06-21,08:29:31,"Ate Rose Store",sari-sari,NCR,Fortune,"Fortune Red 20s",2,130,260,Maya
TRX-000069,2025-06-21,08:29:31,"Ate Rose Store",sari-sari,NCR,Marlboro,"Marlboro Ice Blast 20s",2,165,330,Maya
TRX-000070,2025-05-30,06:56:49,"Legazpi Central",grocery,Region V,Marlboro,"Marlboro Ice Blast 20s",1,165,165,Maya
TRX-000070,2025-05-30,06:56:49,"Legazpi Central",grocery,Region V,Philip Morris,"Philip Morris Red 20s",1,140,140,Maya
TRX-000071,2025-05-24,17:44:17,"CDO Central Store",grocery,Region X,Winston,"Winston Red 10s",2,75,150,GCash
TRX-000072,2025-05-24,08:33:28,"IT Park Mart",convenience,Region VII,Camel,"Camel Menthol 20s",2,155,310,Cash
TRX-000073,2025-04-11,12:09:47,"Vigan Central Store",sari-sari,Region I,Marlboro,"Marlboro Red 20s",2,160,320,GCash
TRX-000073,2025-04-11,12:09:47,"Vigan Central Store",sari-sari,Region I,Hope,"Hope Luxury Red 20s",1,120,120,GCash
TRX-000073,2025-04-11,12:09:47,"Vigan Central Store",sari-sari,Region I,Mighty,"Mighty Premium 20s",1,140,140,GCash
TRX-000074,2025-06-08,12:02:57,"GenSan Central",grocery,Region XII,Fortune,"Fortune Menthol 20s",1,130,130,GCash
TRX-000074,2025-06-08,12:02:57,"GenSan Central",grocery,Region XII,Fortune,"Fortune Red 20s",2,130,260,GCash
TRX-000075,2025-05-30,19:12:20,"Zamboanga Central",grocery,Region IX,Mighty,"Mighty Menthol 20s",1,130,130,Cash
TRX-000075,2025-05-30,19:12:20,"Zamboanga Central",grocery,Region IX,Fortune,"Fortune Menthol 20s",1,130,130,Cash
TRX-000076,2025-05-22,13:22:30,"Buhangin Store",sari-sari,Region XI,Mevius,"Mevius Purple 20s",1,160,160,Maya
TRX-000076,2025-05-22,13:22:30,"Buhangin Store",sari-sari,Region XI,Winston,"Winston Red 10s",2,75,150,Maya
TRX-000077,2025-05-30,13:33:10,"Davao Central",grocery,Region XI,Hope,"Hope Luxury Red 20s",1,120,120,Cash
TRX-000077,2025-05-30,13:33:10,"Davao Central",grocery,Region XI,Winston,"Winston Lights 20s",1,150,150,Cash
TRX-000077,2025-05-30,13:33:10,"Davao Central",grocery,Region XI,Mighty,"Mighty Red 10s",2,65,130,Cash
TRX-000078,2025-06-07,19:42:42,"Lahug Store",sari-sari,Region VII,Mighty,"Mighty Red 10s",1,65,65,Maya
TRX-000078,2025-06-07,19:42:42,"Lahug Store",sari-sari,Region VII,Mighty,"Mighty Red 10s",1,65,65,Maya
TRX-000079,2025-05-13,12:42:20,"Ortigas Store",grocery,NCR,Winston,"Winston Red 20s",2,150,300,GCash
TRX-000080,2025-06-13,19:43:36,"Apokon Store",sari-sari,Region XI,Philip Morris,"Philip Morris Red 20s",2,140,280,Cash
TRX-000081,2025-04-04,07:47:11,"Rosa Store",sari-sari,Region IV-A,Mighty,"Mighty Red 10s",1,65,65,Cash
TRX-000081,2025-04-04,07:47:11,"Rosa Store",sari-sari,Region IV-A,Philip Morris,"Philip Morris Red 20s",2,140,280,Cash
TRX-000082,2025-05-29,12:37:35,"Lacson Mart",convenience,Region VI,Winston,"Winston Lights 20s",2,150,300,Maya
TRX-000082,2025-05-29,12:37:35,"Lacson Mart",convenience,Region VI,Winston,"Winston Lights 20s",1,150,150,Maya
TRX-000083,2025-06-08,07:25:39,"Lacson Mart",convenience,Region VI,Camel,"Camel Blue 20s",2,155,310,Cash
TRX-000084,2025-04-10,19:03:11,"Zamboanga Central",grocery,Region IX,Mighty,"Mighty Premium 20s",1,140,140,Maya
TRX-000084,2025-04-10,19:03:11,"Zamboanga Central",grocery,Region IX,Mighty,"Mighty Red 10s",1,65,65,Maya
TRX-000084,2025-04-10,19:03:11,"Zamboanga Central",grocery,Region IX,Winston,"Winston Blue 20s",1,150,150,Maya
TRX-000085,2025-06-18,06:24:31,"Heights Store",sari-sari,Region IV-A,Marlboro,"Marlboro Gold 20s",1,160,160,Cash
TRX-000085,2025-06-18,06:24:31,"Heights Store",sari-sari,Region IV-A,Fortune,"Fortune Menthol 20s",2,130,260,Cash
TRX-000085,2025-06-18,06:24:31,"Heights Store",sari-sari,Region IV-A,Marlboro,"Marlboro Gold 20s",1,160,160,Cash
TRX-000086,2025-06-11,17:24:07,"Dolores Mart",sari-sari,Region III,Fortune,"Fortune Menthol 20s",2,130,260,Maya
TRX-000086,2025-06-11,17:24:07,"Dolores Mart",sari-sari,Region III,Marlboro,"Marlboro Ice Blast 20s",2,165,330,Maya
TRX-000086,2025-06-11,17:24:07,"Dolores Mart",sari-sari,Region III,Mighty,"Mighty Premium 20s",1,140,140,Maya
TRX-000087,2025-04-19,12:26:00,"Apokon Store",sari-sari,Region XI,Marlboro,"Marlboro Red 20s",2,160,320,GCash
TRX-000088,2025-04-28,08:15:20,"Grace Sari-Sari",sari-sari,NCR,Mighty,"Mighty Red 10s",1,65,65,GCash
TRX-000088,2025-04-28,08:15:20,"Grace Sari-Sari",sari-sari,NCR,Hope,"Hope Luxury Red 20s",2,120,240,GCash
TRX-000088,2025-04-28,08:15:20,"Grace Sari-Sari",sari-sari,NCR,More,"More Menthol 20s",2,140,280,GCash
TRX-000089,2025-05-24,12:41:54,"Legazpi Central",grocery,Region V,Fortune,"Fortune Menthol 20s",1,130,130,GCash
TRX-000089,2025-05-24,12:41:54,"Legazpi Central",grocery,Region V,Mighty,"Mighty Red 20s",1,130,130,GCash
TRX-000089,2025-05-24,12:41:54,"Legazpi Central",grocery,Region V,Mighty,"Mighty Menthol 20s",1,130,130,GCash
TRX-000090,2025-06-07,17:38:06,"Cotabato Central",grocery,BARMM,Hope,"Hope Luxury Red 20s",2,120,240,Cash
TRX-000090,2025-06-07,17:38:06,"Cotabato Central",grocery,BARMM,Philip Morris,"Philip Morris Red 20s",2,140,280,Cash
TRX-000090,2025-06-07,17:38:06,"Cotabato Central",grocery,BARMM,Marlboro,"Marlboro Red 20s",2,160,320,Cash
TRX-000091,2025-04-16,08:07:23,"Clark Convenience",convenience,Region III,Mighty,"Mighty Red 10s",1,65,65,Cash
TRX-000091,2025-04-16,08:07:23,"Clark Convenience",convenience,Region III,Camel,"Camel Yellow 20s",1,155,155,Cash
TRX-000092,2025-04-13,13:39:01,"Aling Nena Store",sari-sari,NCR,Winston,"Winston Lights 20s",2,150,300,Maya
TRX-000093,2025-05-05,08:34:01,"Tuguegarao Central",grocery,Region II,Mighty,"Mighty Red 20s",2,130,260,GCash
TRX-000093,2025-05-05,08:34:01,"Tuguegarao Central",grocery,Region II,Hope,"Hope Luxury Red 20s",1,120,120,GCash
TRX-000093,2025-05-05,08:34:01,"Tuguegarao Central",grocery,Region II,Winston,"Winston Blue 20s",1,150,150,GCash
TRX-000094,2025-04-26,19:53:37,"Apokon Store",sari-sari,Region XI,Winston,"Winston Blue 20s",2,150,300,GCash
TRX-000094,2025-04-26,19:53:37,"Apokon Store",sari-sari,Region XI,Marlboro,"Marlboro Red 20s",2,160,320,GCash
TRX-000094,2025-04-26,19:53:37,"Apokon Store",sari-sari,Region XI,Mevius,"Mevius Purple 20s",2,160,320,GCash
TRX-000095,2025-05-20,13:52:34,"Mang Juan Sari-Sari",sari-sari,NCR,Marlboro,"Marlboro Gold 20s",1,160,160,Maya
TRX-000096,2025-04-22,13:22:25,"Clark Convenience",convenience,Region III,Mevius,"Mevius Purple 20s",1,160,160,GCash
TRX-000097,2025-05-31,13:00:14,"Baguio Central",grocery,CAR,Winston,"Winston Menthol 20s",1,150,150,Maya
TRX-000097,2025-05-31,13:00:14,"Baguio Central",grocery,CAR,Winston,"Winston Blue 20s",1,150,150,Maya
TRX-000097,2025-05-31,13:00:14,"Baguio Central",grocery,CAR,Winston,"Winston Red 20s",2,150,300,Maya
TRX-000098,2025-04-13,17:19:19,"Buhangin Store",sari-sari,Region XI,Winston,"Winston Red 20s",2,150,300,GCash
TRX-000099,2025-04-22,08:38:11,"Cogeo Mart",grocery,Region IV-A,Mighty,"Mighty Premium 20s",2,140,280,Cash
TRX-000099,2025-04-22,08:38:11,"Cogeo Mart",grocery,Region IV-A,Mevius,"Mevius Blue 20s",2,160,320,Cash
TRX-000100,2025-05-21,07:27:12,"Mandaue Central",grocery,Region VII,Fortune,"Fortune Red 20s",2,130,260,Maya
TRX-000100,2025-05-21,07:27:12,"Mandaue Central",grocery,Region VII,Marlboro,"Marlboro Gold 20s",1,160,160,Maya
TRX-000101,2025-04-22,18:44:51,"Jaro Store",sari-sari,Region VI,Mighty,"Mighty Menthol 20s",2,130,260,Maya
TRX-000101,2025-04-22,18:44:51,"Jaro Store",sari-sari,Region VI,Mighty,"Mighty Premium 20s",1,140,140,Maya
TRX-000102,2025-04-07,18:00:06,"Cubao Central Store",sari-sari,NCR,Fortune,"Fortune Menthol 20s",1,130,130,Maya
TRX-000102,2025-04-07,18:00:06,"Cubao Central Store",sari-sari,NCR,Camel,"Camel Yellow 20s",2,155,310,Maya
TRX-000103,2025-05-12,06:45:41,"Santo Domingo Store",sari-sari,Region IV-A,Mevius,"Mevius Purple 20s",1,160,160,Cash
TRX-000103,2025-05-12,06:45:41,"Santo Domingo Store",sari-sari,Region IV-A,Camel,"Camel Menthol 20s",1,155,155,Cash
TRX-000104,2025-04-24,20:41:14,"Vigan Central Store",sari-sari,Region I,Winston,"Winston Red 10s",2,75,150,GCash
TRX-000105,2025-06-21,13:21:02,"Tacloban Central",grocery,Region VIII,Mevius,"Mevius Purple 20s",2,160,320,GCash
TRX-000106,2025-04-24,13:40:38,"Balibago Store",sari-sari,Region III,Mighty,"Mighty Menthol 20s",2,130,260,Cash
TRX-000106,2025-04-24,13:40:38,"Balibago Store",sari-sari,Region III,Winston,"Winston Lights 20s",2,150,300,Cash
TRX-000107,2025-06-05,19:34:10,"CDO Central Store",grocery,Region X,Winston,"Winston Red 10s",1,75,75,Cash
TRX-000107,2025-06-05,19:34:10,"CDO Central Store",grocery,Region X,Fortune,"Fortune Menthol 20s",2,130,260,Cash
TRX-000107,2025-06-05,19:34:10,"CDO Central Store",grocery,Region X,Philip Morris,"Philip Morris Red 20s",2,140,280,Cash
TRX-000108,2025-05-17,18:40:08,"Romblon Store",sari-sari,MIMAROPA,Marlboro,"Marlboro Red 20s",2,160,320,GCash
TRX-000108,2025-05-17,18:40:08,"Romblon Store",sari-sari,MIMAROPA,Fortune,"Fortune Red 20s",2,130,260,GCash
TRX-000109,2025-05-18,17:24:02,"Vigan Central Store",sari-sari,Region I,Marlboro,"Marlboro Red 20s",1,160,160,Cash
